"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MEOX2",1216.16728419915,-3.49075664452439,0.659225362621979,-5.29524020532277,7.89486766775051e-05,0.00392043701627576
"MFAP2",1799.43174183865,2.84753341067351,0.421575093014905,6.75451054356485,5.86750011061585e-06,0.000478284289677135
"MKI67",3994.8658693616,4.17449535549402,0.919037464957128,4.54224720391432,0.000276021779552549,0.00997893801767282
"MME",12493.0915325449,-3.5948005885049,0.599976111895706,-5.99157285970377,7.63213624903071e-06,0.000602241764929222
"MMP1",451.312627309509,6.85632779340119,1.23370064928395,5.55752953310081,1.03257887979935e-06,0.00011512255239879
"MMP11",9462.43123735481,6.4436252907971,0.755955228375478,8.52381867196584,2.98886833217435e-13,5.1650633648305e-10
"MMP13",405.365560087505,8.14333468739078,0.789336614489807,10.3166818033068,7.1618381071374e-20,4.12545747764805e-16
"MYBL2",2975.66540597878,5.85915418489728,0.927032283356511,6.32033456664854,7.95850208049609e-08,1.33525120828207e-05
"MYH1",166.707101834421,-7.16158722913275,0.95839883217231,-7.47244987026985,6.420494196437e-11,2.99871784347643e-08
"MYH11",12632.4523927266,-3.26599414422097,0.63065877467111,-5.17870245430929,0.000163409323784668,0.00674775211013859
"MYOC",905.990877684197,-8.96404751159623,1.12527393776851,-7.96610248467363,7.34262122366463e-13,9.76060287431912e-10
"MYT1",35.5471652392506,4.8321487375484,1.05553778458681,4.57790219176279,0.000141443033958569,0.00600559476618681
"NEK2",862.888424696461,5.12193795926952,0.996223126697248,5.14135621028006,1.75509495474538e-05,0.0011847576528498
"NNAT",377.98476082487,-4.14325103994723,0.859177152418945,-4.82234778739429,0.000126876922732556,0.00555609884873417
"NOVA1",1038.04266173789,-4.24601848472714,0.731897025907391,-5.8013878106186,4.6020041401813e-06,0.000391759771164892
"NPR1",4449.77702968057,-4.64969316698357,0.65868687892172,-7.05903414167774,1.50493082051529e-08,3.42193546175325e-06
"NTRK2",12113.321874927,-3.92239657800296,0.536526785177286,-7.31071902907303,2.56306280072565e-08,5.0791187265841e-06
"PC",5775.14635900802,-3.44358937764074,0.667976606105886,-5.15525445975704,0.000126998382341878,0.00555609884873417
"PCDH9",568.61622930695,-4.85808471142692,0.753893026125021,-6.44399741485509,1.54765607408702e-07,2.32565605359111e-05
"PCK1",5939.33412227226,-9.02033831818962,1.19530847089204,-7.54645226554602,9.74137907688364e-12,7.01419882615109e-09
"PDE2A",2744.84041536621,-4.13845222578208,0.595180262264286,-6.95327531534376,6.70647989811415e-08,1.14747207048822e-05
"PDE3B",6275.0012826578,-5.91199962716677,1.03961425831791,-5.68672426322083,1.15155998334036e-06,0.000124375675450655
"PDK4",15412.7140345233,-3.2928204434767,0.551620961057492,-5.96935337113398,1.6156993814137e-05,0.00109924807126812
"ENPP2",7896.81225152121,-3.62036708623063,0.517560232551057,-6.99506426215519,2.0643940799521e-07,2.9241634504633e-05
"PFKFB1",723.157904650991,-6.31519949570002,1.02595808110783,-6.15541669000827,1.10517221471243e-07,1.78490477032201e-05
"PLIN1",58744.3741693506,-7.99096483813158,1.1571451919644,-6.90575814826304,7.63148892232669e-10,2.48829735974958e-07
"PLK1",1125.3688947394,4.79163281656825,0.845628525579948,5.66635664671087,3.66619945463488e-06,0.000321601993784494
"FXYD1",811.69117623317,-4.54868086559193,0.845553099561943,-5.37953307479858,1.3531172223251e-05,0.000974300779958337
"PPARG",5247.58362984949,-5.12279708540384,0.732714703266931,-6.9915303494839,9.1822185767005e-09,2.20385998922169e-06
"PPP1R1A",7368.84387548697,-5.98107782916645,0.912342860669048,-6.55573478678876,2.38529607943277e-08,4.79305831961369e-06
"PRELP",8721.0027205814,-3.43120357754982,0.656166544908786,-5.2291656808361,0.000105627695778368,0.00485466013496272
"PRKAR2B",19180.0417264491,-4.34904865669892,0.737108434017134,-5.90014773402773,2.76645304855832e-06,0.000259821060500741
"MAPK10",1159.25254714366,-3.67632129091486,0.60755237944482,-6.05103595228164,5.2870634316116e-06,0.000445556117257981
"MASP1",227.441310587002,-4.1257420455075,0.702104754891642,-5.87624854662071,4.2545078504741e-06,0.000367610750820215
"RELN",345.485885370583,-3.07242541923446,0.598248681634849,-5.13569943996929,0.00026595119833981,0.00971649610678702
"PTH1R",457.004741015093,-3.81682022680805,0.761798085342012,-5.01027805168935,0.00010882633380007,0.00493603116640161
"PTPRB",4969.20202051939,-2.57055325319835,0.437146057234713,-5.88030753258781,0.000163607900824493,0.00674775211013859
"PTPRN",107.099154181195,6.62954989547922,0.920207327849205,7.20440893572802,4.74685932475073e-10,1.70896824981286e-07
"PYGM",597.551206118831,-6.05479861545787,0.96025129023778,-6.30543137719562,7.04630183390314e-08,1.19379550972235e-05
"RAD51",388.19763418538,3.74405196202418,0.763316581806976,4.90497920687246,0.000162254125968329,0.00672401331141172
"RBP4",11267.6160787519,-7.98829439888246,1.06485023530953,-7.50180084860517,2.64207696372345e-11,1.52192440033683e-08
"RDH5",2461.25333711952,-5.75159171354184,0.896116683337311,-6.41835133804428,5.7137161545893e-08,1.0000300690769e-05
"RGS4",1289.8451780186,4.37742106128811,0.711860160872407,6.14927102525789,1.04510608814209e-06,0.000115772296853741
"ROBO2",62.6553996557672,-3.22915470105114,0.614341608704795,-5.2562851926294,0.000142521845848044,0.00603656867181383
"S100A7",571.406834054955,7.66326865376852,1.9238222601883,3.98335584962951,0.000269889121987734,0.009798222514853
"SAA1",7310.71303470797,-4.63858592114739,0.944224714236806,-4.91258685692913,5.82177787335247e-05,0.00320341159751792
"SAA2",3254.7811333726,-5.85794245153974,1.09464544582832,-5.35145190058047,4.54192922955984e-06,0.000388559797109027
"SCN3A",181.974736774683,-3.40299044367311,0.368825359339816,-9.2265630805982,3.62836768708509e-11,1.95943193751617e-08
"SCN4A",971.278875223052,-5.96249485817248,0.751653933016821,-7.93250004592079,2.02686175708956e-11,1.2077999318712e-08
"SCT",11.7115147710068,6.8758720083732,1.55551818528274,4.42030962635348,7.94314294697321e-05,0.00393310754345685
"CCL11",30.1256807248655,5.87857122868563,1.08416291693329,5.42222127031793,3.40017227897945e-06,0.000299787638535938
"CCL20",38.1669385614871,5.78630118239151,1.25813740016314,4.59910116465915,7.11444047877067e-05,0.00366998943025779
"SLC2A4",2379.3375643484,-7.31355152013022,0.973012431976937,-7.51640090072721,4.33002036685135e-11,2.13791662741595e-08
"SLC8A2",60.3963502160482,4.2358502413922,0.883057783097761,4.79679849095816,0.000123975703477046,0.00551992244648717
"SOD3",3561.38066100009,-4.42991781121331,0.506042719610879,-8.7540392135662,6.09585434142546e-12,4.7882935851897e-09
"SOX11",779.007962233468,5.49616897167916,1.12508060524931,4.88513351491046,3.21728378380072e-05,0.00198563860956644
"AURKA",1147.19763173535,3.78347731624005,0.76018379273984,4.97705601247261,0.000125330155170677,0.00555341131154992
"SYCP1",15.4991020434378,-6.90411699343291,1.5716997359493,-4.39277098259666,8.63937291505404e-05,0.00419373604901823
"TACC1",14514.2874686537,-2.82502834408979,0.470518147677211,-6.00407945588497,5.24945066961301e-05,0.00292869452164118
"TACR1",738.211094872579,-4.06399596125721,0.821203260221009,-4.94883076835749,9.53210481272136e-05,0.00445200819644967
"TDO2",82.9923174078766,4.96014553257441,0.975732772832969,5.08350818039348,2.4680446238208e-05,0.00159142832627788
"TFR2",115.28547188996,4.76783901726041,0.793205260365085,6.01085148510732,1.01636062929071e-06,0.000114050182043979
"TGFBR2",20446.1463939233,-2.85715956572687,0.437140200988655,-6.53602564867059,1.07636921281413e-05,0.000808312362954405
"TGFBR3",9738.91777337112,-4.00623073427676,0.634539923811537,-6.31359916679826,1.08103166552265e-06,0.000117837505792523
"THRSP",5949.74539819535,-5.4420153105122,0.961999163739299,-5.6569854898408,1.94211801072063e-06,0.000191781379104362
"TIMP4",6425.16880284052,-7.7260740882565,1.07469615083542,-7.18907765906724,1.94246919519967e-10,7.9923357529156e-08
"TLL2",34.8315207174981,3.65770790291176,0.766514237931971,4.77187209565752,0.000262892354520973,0.00964552606895315
"CLDN5",1651.40932319216,-3.44688169689254,0.685833872834701,-5.02582598121879,0.000180032045142148,0.00735492617518077
"CLEC3B",4653.37686450063,-5.16683528495629,0.782996363352786,-6.59879857274423,5.1414166538589e-08,9.25508554118079e-06
"TNNI3",51.9516908440539,7.89221445031679,1.43795335192543,5.48850520063745,8.2154440257138e-07,9.46473921389068e-05
"TNNT1",705.759059135233,7.73090649294866,1.17301016400943,6.59065601488387,4.785908277023e-09,1.25311031720052e-06
"TNNT3",303.582165900966,-5.2413922422574,1.18966976665525,-4.40575392362332,0.000181877723676274,0.00741280411049454
"TNS1",58547.3762257253,-3.74929467762203,0.681787431964979,-5.49921354052566,2.75955731990333e-05,0.0017532319869577
"TNXB",18001.1121141055,-5.37369296346517,0.782273316178827,-6.86932923867846,1.12880421381368e-08,2.6360629214749e-06
"TOP2A",5313.52181381856,4.40362223453896,0.879389203739658,5.00759187833133,5.43201792886227e-05,0.00299906395618751
"TPO",119.590423260023,-4.38425991498542,0.878659427756831,-4.98971475919651,5.86705786682304e-05,0.00320341159751792
"TSHR",90.2317795434518,-5.05677135087308,1.006847174383,-5.02238222396748,2.79864338469191e-05,0.00177155151395095
"TTK",1214.56366629849,5.41052335835842,1.01277763101329,5.34226190693526,6.65716525235156e-06,0.00053758164825181
"XPNPEP2",279.002194276705,-4.0847475561599,0.887492139759453,-4.60257322083667,0.000254668483370107,0.00952714697352949
"ZBTB16",797.466622797598,-5.79744194426207,1.06489332960265,-5.44415274572649,3.31730333948484e-06,0.000293981123126347
"SLC14A2",88.6739283430557,-4.91214031393191,0.785119601750139,-6.25655034338982,3.13257967556533e-07,4.13237476133164e-05
"CDC45",530.796185421039,4.77916446110358,1.08627552817775,4.3995877078449,0.000251685844601859,0.00947578013194929
"FZD4",19675.1644977309,-4.24922736000446,0.692327976401173,-6.13759302649099,1.34488137917851e-06,0.000139455835216989
"SRPX",4086.36802378026,-3.06365512363872,0.521998088209654,-5.86909261324392,3.85279761673473e-05,0.00229026785821391
"SDPR",4264.41453264075,-4.58746440317858,0.553648368027281,-8.28588083718967,4.59585957411294e-11,2.20614025834016e-08
"RAD54L",320.168622498639,4.36018180774917,0.85774263578657,5.08332176323588,4.47416298637446e-05,0.00260330001910899
"PDE8B",696.816155096766,-4.32349289798509,0.64592459905487,-6.69349472726586,1.33528025921854e-07,2.02755328713262e-05
"HSD17B6",155.515902218699,3.65761332167139,0.43259568503863,8.45503884613359,4.03838316997329e-10,1.48483616085762e-07
"AOC3",32124.0891195427,-5.25064802771697,0.772661371473007,-6.79553582147778,1.88492214860186e-08,4.02139995678872e-06
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378588256,-6.61717626238487,3.24758705644392e-06,0.000289286350115502
"SLC4A4",962.814312160039,-5.66047885638602,0.770630272721656,-7.34525888321874,7.35007003363436e-10,2.4426261586776e-07
"MYOM1",1122.55085079275,-5.10542203863476,0.695592602555486,-7.33967270479636,1.79506598270786e-09,5.11995758080056e-07
"WISP1",528.510705495486,3.64148679375073,0.68954333100589,5.28101227291781,6.38696045520506e-05,0.00337532304667886
"ALDH1A2",528.609996207033,-3.11422480783419,0.577059389146281,-5.39671456076898,0.000124254952357127,0.00551992244648717
"GYG2",16229.7439068974,-5.46889443504288,0.893277207455163,-6.12228140313026,2.82506136457822e-07,3.81405355009971e-05
"PRC1",2163.00431301221,3.35548796417596,0.673776173302934,4.98012262399685,0.000236188455141765,0.00909036234589051
"ANGPTL1",943.040794603902,-3.66743840501292,0.736712659087692,-4.9781123749855,0.000146886000338558,0.00620620286516046
"PKMYT1",729.955896047097,5.72966304730727,1.03190299608291,5.55252099185387,2.28700130429878e-06,0.000220791449941828
"CCNB2",912.058721943732,4.57843737938932,0.855821174187348,5.34975940941963,1.44929656795028e-05,0.00102225689758158
"CCNE2",608.937438741978,3.70809347209194,0.743462085412091,4.98760265634338,0.000134978447969029,0.00581686423778749
"SYNGR3",98.1091890166674,4.36989942106575,0.725847769171766,6.02040759325066,1.71935890818301e-06,0.000171747059493125
"EXO1",696.540255002303,5.05652467319447,1.07857658735418,4.6881461478767,8.46281135662917e-05,0.00411960121278616
"SLC16A7",1205.67226949194,-4.95046484403047,0.977212032112355,-5.06590656004253,2.64328896709546e-05,0.00168556002363014
"AURKB",551.316550654997,5.35583125858141,1.02444169796919,5.22804886720111,1.05981491003512e-05,0.000799766875996373
"DLGAP2",34.8904417074478,-4.43290287977489,0.874947656475537,-5.06647780237678,4.3626674528813e-05,0.00255563580519463
"PTTG1",875.621673993093,4.48780270302097,0.871600866201866,5.14891950782157,3.14572362812488e-05,0.00195544064811605
"GPR37L1",57.4341906221157,5.40068536733826,1.0302408609566,5.24215799626079,9.70789933193483e-06,0.000745609814911848
"TRIP13",1341.66058942058,4.23458240450606,0.794172458632584,5.3320690719963,2.32160301831601e-05,0.00150825645712477
